sign;dac;adc;vol;res
0;0;8854;0.0;692.22
0;8;8855;0.01;691.8
0;16;8855;0.02;691.8
0;24;8858;0.029;690.55
0;32;8856;0.039;691.39
0;40;8851;0.049;693.48
0;48;8854;0.059;692.22
0;56;8855;0.068;691.8
0;64;8861;0.078;689.3
0;72;8857;0.088;690.97
0;80;8849;0.098;694.31
0;88;8849;0.107;694.31
0;96;8858;0.117;690.55
0;104;8854;0.127;692.22
0;112;8856;0.137;691.39
0;120;8846;0.147;695.57
0;128;8853;0.156;692.64
0;136;8853;0.166;692.64
0;144;8854;0.176;692.22
0;152;8853;0.186;692.64
0;160;8852;0.195;693.06
0;168;8848;0.205;694.73
0;176;8856;0.215;691.39
0;184;8855;0.225;691.8
0;192;8853;0.234;692.64
0;200;8859;0.244;690.13
0;208;8849;0.254;694.31
0;216;8856;0.264;691.39
0;224;8843;0.274;696.83
0;232;8847;0.283;695.15
0;240;8855;0.293;691.8
0;248;8857;0.303;690.97
0;256;8855;0.313;691.8
0;264;8861;0.322;689.3
0;272;8854;0.332;692.22
0;280;8850;0.342;693.89
0;288;8850;0.352;693.89
0;296;8859;0.361;690.13
0;304;8851;0.371;693.48
0;312;8867;0.381;686.79
0;320;8848;0.391;694.73
0;328;8853;0.4;692.64
0;336;8849;0.41;694.31
0;344;8863;0.42;688.46
0;352;8868;0.43;686.38
0;360;8850;0.44;693.89
0;368;8851;0.449;693.48
0;376;8857;0.459;690.97
0;384;8852;0.469;693.06
0;392;8870;0.479;685.54
0;400;8870;0.488;685.54
0;408;8852;0.498;693.06
0;416;8849;0.508;694.31
0;424;8868;0.518;686.38
0;432;8857;0.527;690.97
0;440;8849;0.537;694.31
0;448;8849;0.547;694.31
0;456;8857;0.557;690.97
0;464;8862;0.567;688.88
0;472;8859;0.576;690.13
0;480;8851;0.586;693.48
0;488;8850;0.596;693.89
0;496;8840;0.606;698.08
0;504;8860;0.615;689.71
0;512;8864;0.625;688.04
0;520;8862;0.635;688.88
0;528;8860;0.645;689.71
0;536;8854;0.654;692.22
0;544;8859;0.664;690.13
0;552;8872;0.674;684.71
0;560;8856;0.684;691.39
0;568;8856;0.694;691.39
0;576;8869;0.703;685.96
0;584;8871;0.713;685.13
0;592;8860;0.723;689.71
0;600;8868;0.733;686.38
0;608;8857;0.742;690.97
0;616;8846;0.752;695.57
0;624;8852;0.762;693.06
0;632;8868;0.772;686.38
0;640;8862;0.781;688.88
0;648;8867;0.791;686.79
0;656;8865;0.801;687.63
0;664;8845;0.811;695.99
0;672;8854;0.821;692.22
0;680;8853;0.83;692.64
0;688;8859;0.84;690.13
0;696;8849;0.85;694.31
0;704;8844;0.86;696.41
0;712;8860;0.869;689.71
0;720;8866;0.879;687.21
0;728;8866;0.889;687.21
0;736;8845;0.899;695.99
0;744;8868;0.908;686.38
0;752;8837;0.918;699.34
0;760;8832;0.928;701.44
0;768;8843;0.938;696.83
0;776;8841;0.947;697.67
0;784;8824;0.957;704.81
0;792;8818;0.967;707.34
0;800;8793;0.977;717.91
0;808;8784;0.987;721.72
0;816;8759;0.996;732.38
0;824;8732;1.006;743.95
0;832;8580;1.016;810.45
0;840;8304;1.026;937.43
0;848;6818;1.035;1797.78
0;0;6805;0.0;1806.97
1;0;6790;-0.0;1817.61
1;8;6798;-0.01;1811.93
1;16;6802;-0.02;1809.09
1;24;6806;-0.029;1806.26
1;32;6798;-0.039;1811.93
1;40;6801;-0.049;1809.8
1;48;6797;-0.059;1812.64
1;56;6788;-0.068;1819.03
1;64;6810;-0.078;1803.43
1;72;6809;-0.088;1804.14
1;80;6800;-0.098;1810.51
1;88;6806;-0.107;1806.26
1;96;6804;-0.117;1807.68
1;104;6813;-0.127;1801.31
1;112;6813;-0.137;1801.31
1;120;6803;-0.147;1808.38
1;128;6802;-0.156;1809.09
1;136;6804;-0.166;1807.68
1;144;6804;-0.176;1807.68
1;152;6800;-0.186;1810.51
1;160;6804;-0.195;1807.68
1;168;6805;-0.205;1806.97
1;176;6799;-0.215;1811.22
1;184;6809;-0.225;1804.14
1;192;6803;-0.234;1808.38
1;200;6788;-0.244;1819.03
1;208;6811;-0.254;1802.72
1;216;6813;-0.264;1801.31
1;224;6814;-0.274;1800.61
1;232;6800;-0.283;1810.51
1;240;6810;-0.293;1803.43
1;248;6798;-0.303;1811.93
1;256;6804;-0.313;1807.68
1;264;6810;-0.322;1803.43
1;272;6801;-0.332;1809.8
1;280;6801;-0.342;1809.8
1;288;6811;-0.352;1802.72
1;296;6778;-0.361;1826.16
1;304;6827;-0.371;1791.45
1;312;6814;-0.381;1800.61
1;320;6808;-0.391;1804.85
1;328;6812;-0.4;1802.02
1;336;6821;-0.41;1795.67
1;344;6806;-0.42;1806.26
1;352;6812;-0.43;1802.02
1;360;6830;-0.44;1789.34
1;368;6822;-0.449;1794.96
1;376;6856;-0.459;1771.14
1;384;6857;-0.469;1770.44
1;392;6838;-0.479;1783.72
1;400;6858;-0.488;1769.74
1;408;6894;-0.498;1744.78
1;416;6874;-0.508;1758.62
1;424;6835;-0.518;1785.83
1;432;6932;-0.527;1718.72
1;440;6887;-0.537;1749.62
1;448;6853;-0.547;1773.23
1;456;6872;-0.557;1760.0
1;464;6843;-0.567;1780.22
1;472;6909;-0.576;1734.46
1;480;6879;-0.586;1755.15
1;488;6932;-0.596;1718.72
1;496;6949;-0.606;1707.15
1;504;6962;-0.615;1698.34
1;512;7008;-0.625;1667.44
1;520;6994;-0.635;1676.8
1;528;6975;-0.645;1689.57
1;536;6946;-0.654;1709.19
1;544;6894;-0.664;1744.78
1;552;6897;-0.674;1742.71
1;560;6969;-0.684;1693.61
1;568;6864;-0.694;1765.56
1;576;6926;-0.703;1722.81
1;584;7006;-0.713;1668.77
1;592;6906;-0.723;1736.52
1;600;6921;-0.733;1726.23
1;608;7085;-0.742;1616.6
1;616;7020;-0.752;1659.44
1;624;6999;-0.762;1673.45
1;632;7179;-0.772;1556.02
1;640;7273;-0.781;1497.01
1;648;7260;-0.791;1505.08
1;656;7302;-0.801;1479.11
1;664;7320;-0.811;1468.07
1;672;7333;-0.821;1460.13
1;680;7362;-0.83;1442.52
1;688;7402;-0.84;1418.46
1;696;7446;-0.85;1392.29
1;704;7456;-0.86;1386.39
1;712;7496;-0.869;1362.93
1;720;7451;-0.879;1389.34
1;728;7542;-0.889;1336.26
1;736;7638;-0.899;1281.63
1;744;7692;-0.908;1251.5
1;752;7690;-0.918;1252.61
1;760;7741;-0.928;1224.53
1;768;7744;-0.938;1222.89
1;776;7782;-0.947;1202.22
1;784;7833;-0.957;1174.79
1;792;7802;-0.967;1191.42
1;800;7867;-0.977;1156.71
1;808;7919;-0.987;1129.34
1;816;7891;-0.996;1144.03
1;824;7935;-1.006;1121.0
1;832;7958;-1.016;1109.06
1;840;8044;-1.026;1065.02
1;848;8082;-1.035;1045.86
