sign;dac;adc;vol;res
0;0;9;0.0;652579.38
0;41;8;0.05;652579.38
0;82;8;0.1;652579.38
0;123;8;0.15;652579.38
0;164;8;0.2;652579.38
0;205;9;0.25;652579.38
0;246;9;0.3;652579.38
0;287;9;0.35;652579.38
0;328;9;0.4;652579.38
0;369;9;0.451;652579.38
0;410;8;0.501;652579.38
0;451;8;0.551;652579.38
0;492;9;0.601;652579.38
0;533;8;0.651;652579.38
0;574;9;0.701;652579.38
0;615;8;0.751;652579.38
0;656;8;0.801;652579.38
0;697;8;0.851;652579.38
0;738;8;0.901;652579.38
0;779;8;0.951;652579.38
0;820;8;1.001;652579.38
0;861;9;1.051;652579.38
0;902;8;1.101;652579.38
0;943;8;1.151;652579.38
0;984;8;1.201;652579.38
0;1025;8;1.252;652579.38
0;1066;8;1.302;652579.38
0;1107;9;1.352;652579.38
0;1148;9;1.402;652579.38
0;1189;9;1.452;652579.38
0;1230;8;1.502;652579.38
0;1271;8;1.552;652579.38
0;1312;9;1.602;652579.38
0;1353;8;1.652;652579.38
0;1394;8;1.702;652579.38
0;1392;7;1.7;652579.38
0;1351;9;1.65;652579.38
0;1310;9;1.6;652579.38
0;1269;9;1.549;652579.38
0;1228;9;1.499;652579.38
0;1187;9;1.449;652579.38
0;1146;9;1.399;652579.38
0;1105;9;1.349;652579.38
0;1064;8;1.299;652579.38
0;1023;8;1.249;652579.38
0;982;8;1.199;652579.38
0;941;8;1.149;652579.38
0;900;8;1.099;652579.38
0;859;9;1.049;652579.38
0;818;7;0.999;652579.38
0;777;9;0.949;652579.38
0;736;8;0.899;652579.38
0;695;8;0.849;652579.38
0;654;8;0.799;652579.38
0;613;8;0.748;652579.38
0;572;8;0.698;652579.38
0;531;8;0.648;652579.38
0;490;8;0.598;652579.38
0;449;9;0.548;652579.38
0;408;9;0.498;652579.38
0;367;8;0.448;652579.38
0;326;9;0.398;652579.38
0;285;8;0.348;652579.38
0;244;8;0.298;652579.38
0;203;8;0.248;652579.38
0;162;9;0.198;652579.38
0;121;8;0.148;652579.38
0;80;8;0.098;652579.38
0;39;8;0.048;652579.38
0;-2;12;-0.002;652579.38
1;0;12;-0.0;652579.38
1;41;11;-0.05;652579.38
1;82;11;-0.1;652579.38
1;123;11;-0.15;652579.38
1;164;11;-0.2;652579.38
1;205;11;-0.25;652579.38
1;246;11;-0.3;652579.38
1;287;11;-0.35;652579.38
1;328;10;-0.4;652579.38
1;369;11;-0.451;652579.38
1;410;12;-0.501;652579.38
1;451;12;-0.551;652579.38
1;492;10;-0.601;652579.38
1;533;12;-0.651;652579.38
1;574;12;-0.701;652579.38
1;615;11;-0.751;652579.38
1;656;11;-0.801;652579.38
1;697;12;-0.851;652579.38
1;738;13;-0.901;652579.38
1;779;12;-0.951;652579.38
1;820;11;-1.001;652579.38
1;861;11;-1.051;652579.38
1;902;17;-1.101;652579.38
1;943;16;-1.151;652579.38
1;984;15;-1.201;652579.38
1;1025;15;-1.252;652579.38
1;1066;14;-1.302;652579.38
1;1107;15;-1.352;652579.38
1;1148;15;-1.402;652579.38
1;1189;18;-1.452;652579.38
1;1230;16;-1.502;652579.38
1;1271;14;-1.552;652579.38
1;1312;9255;-1.602;531.81
1;859;9258;-1.049;530.66
1;818;9259;-0.999;530.28
1;777;9249;-0.949;534.11
1;736;9255;-0.899;531.81
1;695;9261;-0.849;529.52
1;654;9261;-0.799;529.52
1;613;9265;-0.748;527.99
1;572;9255;-0.698;531.81
1;531;9254;-0.648;532.19
1;490;9265;-0.598;527.99
1;449;9258;-0.548;530.66
1;408;9255;-0.498;531.81
1;367;9260;-0.448;529.9
1;326;9256;-0.398;531.43
1;285;9253;-0.348;532.58
1;244;9250;-0.298;533.73
1;203;9257;-0.248;531.05
1;162;9248;-0.198;534.49
1;121;9252;-0.148;532.96
1;80;9255;-0.098;531.81
1;39;9258;-0.048;530.66
1;-2;9249;0.002;534.11
