sign;dac;adc;vol;res
0;0;35;0.0;652579.38
0;41;33;0.05;652579.38
0;82;34;0.1;652579.38
0;123;37;0.15;652579.38
0;164;38;0.2;652579.38
0;205;36;0.25;652579.38
0;246;34;0.3;652579.38
0;287;37;0.35;652579.38
0;328;36;0.4;652579.38
0;369;38;0.451;652579.38
0;410;37;0.501;652579.38
0;451;34;0.551;652579.38
0;492;38;0.601;652579.38
0;533;37;0.651;652579.38
0;574;35;0.701;652579.38
0;615;35;0.751;652579.38
0;656;36;0.801;652579.38
0;697;38;0.851;652579.38
0;738;37;0.901;652579.38
0;779;34;0.951;652579.38
0;820;39;1.001;652579.38
0;861;35;1.051;652579.38
0;902;38;1.101;652579.38
0;943;41;1.151;652579.38
0;984;40;1.201;652579.38
0;1025;37;1.252;652579.38
0;1066;40;1.302;652579.38
0;1107;37;1.352;652579.38
0;1148;38;1.402;652579.38
0;1189;39;1.452;652579.38
0;1230;37;1.502;652579.38
0;1271;34;1.552;652579.38
0;1312;32;1.602;652579.38
0;1353;38;1.652;652579.38
0;1394;42;1.702;652579.38
0;1392;42;1.7;652579.38
0;1351;38;1.65;652579.38
0;1310;42;1.6;652579.38
0;1269;47;1.549;652579.38
0;1228;45;1.499;652579.38
0;1187;41;1.449;652579.38
0;1146;44;1.399;652579.38
0;1105;40;1.349;652579.38
0;1064;48;1.299;652579.38
0;1023;41;1.249;652579.38
0;982;43;1.199;652579.38
0;941;46;1.149;652579.38
0;900;45;1.099;652579.38
0;859;46;1.049;652579.38
0;818;45;0.999;652579.38
0;777;45;0.949;652579.38
0;736;44;0.899;652579.38
0;695;42;0.849;652579.38
0;654;47;0.799;652579.38
0;613;44;0.748;652579.38
0;572;43;0.698;652579.38
0;531;51;0.648;639724.68
0;490;48;0.598;652579.38
0;449;43;0.548;652579.38
0;408;37;0.498;652579.38
0;367;45;0.448;652579.38
0;326;58;0.398;562153.26
0;285;43;0.348;652579.38
0;244;53;0.298;615470.54
0;203;44;0.248;652579.38
0;162;57;0.198;572068.4
0;121;45;0.148;652579.38
0;80;45;0.098;652579.38
0;39;52;0.048;627364.4
0;-2;189;-0.002;170426.34
1;0;110;-0.0;294985.17
1;41;136;-0.05;238015.51
1;82;137;-0.1;236256.2
1;123;130;-0.15;249139.76
1;164;126;-0.2;257144.51
1;205;135;-0.25;239800.88
1;246;127;-0.3;255096.05
1;287;117;-0.35;277156.4
1;328;106;-0.4;306230.27
1;369;116;-0.451;279571.63
1;410;109;-0.501;297719.07
1;451;110;-0.551;294985.17
1;492;101;-0.601;321539.2
1;533;77;-0.651;422697.39
1;574;89;-0.701;365298.64
1;615;85;-0.751;382630.81
1;656;65;-0.801;501289.52
1;697;66;-0.851;493648.62
1;738;59;-0.901;552574.22
1;779;62;-0.951;525691.11
1;820;69;-1.001;472054.77
1;861;55;-1.051;592980.34
1;902;39;-1.101;652579.38
1;943;53;-1.151;615470.54
1;984;46;-1.201;652579.38
1;1025;10011;-1.252;264.35
1;408;10010;-0.498;264.67
1;367;10011;-0.448;264.35
1;326;10005;-0.398;266.31
1;285;10005;-0.348;266.31
1;244;10012;-0.298;264.02
1;203;10011;-0.248;264.35
1;162;10010;-0.198;264.67
1;121;10004;-0.148;266.64
1;80;10009;-0.098;265.0
1;39;10011;-0.048;264.35
1;-2;10008;0.002;265.33
