wl,bl
0,1
2,1
3,1
0,3
6,3
7,3
3,4
5,4
0,6
2,10
4,11
2,14
3,14
4,14
5,14
6,14
3,15
6,15
0,16
4,19
7,21
1,24
1,28
2,28
3,28
2,29
1,30
2,30
5,31
