sign;dac;adc;vol;res
0;0;6518;0.0;2019.07
0;8;6512;0.01;2023.7
0;16;6538;0.02;2003.68
0;24;6535;0.029;2005.99
0;32;6534;0.039;2006.75
0;40;6534;0.049;2006.75
0;48;6552;0.059;1992.97
0;56;6556;0.068;1989.92
0;64;6535;0.078;2005.99
0;72;6541;0.088;2001.38
0;80;6549;0.098;1995.26
0;88;6543;0.107;1999.85
0;96;6537;0.117;2004.45
0;104;6543;0.127;1999.85
0;112;6550;0.137;1994.5
0;120;6552;0.147;1992.97
0;128;6548;0.156;1996.03
0;136;6552;0.166;1992.97
0;144;6562;0.176;1985.35
0;152;6551;0.186;1993.74
0;160;6554;0.195;1991.44
0;168;6556;0.205;1989.92
0;176;6543;0.215;1999.85
0;184;6552;0.225;1992.97
0;192;6539;0.234;2002.92
0;200;6547;0.244;1996.79
0;208;6549;0.254;1995.26
0;216;6549;0.264;1995.26
0;224;6504;0.274;2029.89
0;232;6522;0.283;2015.98
0;240;6509;0.293;2026.02
0;248;6523;0.303;2015.21
0;256;6518;0.313;2019.07
0;264;6524;0.322;2014.44
0;272;6557;0.332;1989.16
0;280;6544;0.342;1999.09
0;288;6527;0.352;2012.13
0;296;6464;0.361;2061.08
0;0;6511;0.0;2024.48
