sign;dac;adc;vol;res
1;0;10467;-0.0;121.7
0;0;10471;0.0;120.5
0;41;10470;0.05;120.8
0;82;10471;0.1;120.5
0;123;10472;0.15;120.2
0;164;10472;0.2;120.2
0;205;10473;0.25;119.9
0;246;10470;0.3;120.8
0;287;10469;0.35;121.1
0;328;10468;0.4;121.4
0;369;10476;0.451;119.01
0;410;10469;0.501;121.1
0;451;10469;0.551;121.1
0;492;10471;0.601;120.5
0;533;10470;0.651;120.8
0;574;10467;0.701;121.7
0;615;10467;0.751;121.7
0;656;10473;0.801;119.9
0;697;10466;0.851;122.0
0;738;10466;0.901;122.0
0;779;10472;0.951;120.2
0;820;10473;1.001;119.9
0;861;10466;1.051;122.0
0;902;10474;1.101;119.6
0;943;10472;1.151;120.2
0;984;10471;1.201;120.5
0;1025;10470;1.252;120.8
0;1066;10473;1.302;119.9
0;1107;10472;1.352;120.2
0;1148;10471;1.402;120.5
0;1189;10471;1.452;120.5
0;1230;10465;1.502;122.3
0;1271;10470;1.552;120.8
0;1312;10477;1.602;118.71
0;1353;10469;1.652;121.1
0;1394;10467;1.702;121.7
0;1435;10470;1.752;120.8
0;1476;10475;1.802;119.3
0;1517;10470;1.852;120.8
0;1558;10469;1.902;121.1
0;1599;10469;1.952;121.1
0;1640;10467;2.002;121.7
0;1681;10469;2.053;121.1
0;1722;10471;2.103;120.5
0;1763;10472;2.153;120.2
0;1804;10475;2.203;119.3
0;1802;10471;2.2;120.5
0;1761;10466;2.15;122.0
0;1720;10469;2.1;121.1
0;1679;10470;2.05;120.8
0;1638;10465;2.0;122.3
0;1597;10466;1.95;122.0
0;1556;10472;1.9;120.2
0;1515;10472;1.85;120.2
0;1474;10469;1.8;121.1
0;1433;10472;1.75;120.2
0;1392;10473;1.7;119.9
0;1351;10468;1.65;121.4
0;1310;10468;1.6;121.4
0;1269;10472;1.549;120.2
0;1228;10474;1.499;119.6
0;1187;10475;1.449;119.3
0;1146;10471;1.399;120.5
0;1105;10472;1.349;120.2
0;1064;10473;1.299;119.9
0;1023;10472;1.249;120.2
0;982;10474;1.199;119.6
0;941;10472;1.149;120.2
0;900;10470;1.099;120.8
0;859;10473;1.049;119.9
0;818;10470;0.999;120.8
0;777;10472;0.949;120.2
0;736;10474;0.899;119.6
0;695;10467;0.849;121.7
0;654;10467;0.799;121.7
0;613;10468;0.748;121.4
0;572;10467;0.698;121.7
0;531;10473;0.648;119.9
0;490;10473;0.598;119.9
0;449;10468;0.548;121.4
0;408;10472;0.498;120.2
0;367;10470;0.448;120.8
0;326;10469;0.398;121.1
0;285;10469;0.348;121.1
0;244;10472;0.298;120.2
0;203;10473;0.248;119.9
0;162;10472;0.198;120.2
0;121;10473;0.148;119.9
