sign;dac;adc;vol;res
1;0;8158;-0.0;1008.08
1;41;8156;-0.05;1009.06
1;82;8163;-0.1;1005.62
1;123;8158;-0.15;1008.08
1;164;8163;-0.2;1005.62
1;205;8159;-0.25;1007.58
1;246;8158;-0.3;1008.08
1;287;8152;-0.35;1011.03
1;328;8165;-0.4;1004.63
1;369;8154;-0.451;1010.05
1;410;8154;-0.501;1010.05
1;451;8162;-0.551;1006.11
1;492;8153;-0.601;1010.54
1;533;8154;-0.651;1010.05
1;574;8149;-0.701;1012.51
1;615;8155;-0.751;1009.55
1;656;8149;-0.801;1012.51
1;697;8169;-0.851;1002.67
1;738;8168;-0.901;1003.16
1;779;8179;-0.951;997.76
1;820;8135;-1.001;1019.44
1;861;8174;-1.051;1000.21
1;902;8179;-1.101;997.76
1;943;8204;-1.151;985.55
1;984;8240;-1.201;968.09
1;1025;8263;-1.252;957.02
1;1066;8224;-1.302;975.83
1;1107;8118;-1.352;1027.87
1;1148;7273;-1.402;1497.01
1;1189;6862;-1.452;1766.96
1;1230;7125;-1.502;1590.63
1;1271;6923;-1.552;1724.86
1;1312;6993;-1.602;1677.47
1;1353;7189;-1.652;1549.67
1;1394;7149;-1.702;1575.18
1;1435;7599;-1.752;1303.66
1;1476;7506;-1.802;1357.1
1;1517;7700;-1.852;1247.07
1;1558;7855;-1.902;1163.07
1;1599;7931;-1.952;1123.08
1;1640;8139;-2.002;1017.46
1;1638;8316;-2.0;931.74
1;1515;8419;-1.85;883.51
1;1433;8234;-1.75;970.99
1;1392;8391;-1.7;896.5
1;1351;8408;-1.65;888.6
1;1310;8451;-1.6;868.77
1;1269;8338;-1.549;921.33
1;1228;8426;-1.499;880.28
1;1187;8449;-1.449;869.69
1;1146;8439;-1.399;874.28
1;1105;8467;-1.349;861.44
1;1064;8429;-1.299;878.89
1;1023;8431;-1.249;877.97
1;982;8423;-1.199;881.66
1;941;8403;-1.149;890.92
1;900;8420;-1.099;883.05
1;859;8374;-1.049;904.43
1;818;8390;-0.999;896.97
1;777;8392;-0.949;896.04
1;736;8383;-0.899;900.23
1;695;8393;-0.849;895.57
1;654;8385;-0.799;899.3
1;613;8397;-0.748;893.71
1;572;8403;-0.698;890.92
1;531;8383;-0.648;900.23
1;490;8401;-0.598;891.85
1;449;8400;-0.548;892.32
1;408;8399;-0.498;892.78
1;367;8393;-0.448;895.57
1;326;8394;-0.398;895.11
1;285;8398;-0.348;893.25
1;244;8403;-0.298;890.92
1;203;8396;-0.248;894.18
1;162;8398;-0.198;893.25
1;121;8408;-0.148;888.6
1;80;8417;-0.098;884.44
1;39;8404;-0.048;890.46
1;-2;8401;0.002;891.85
1;0;8402;-0.0;891.39
1;41;8396;-0.05;894.18
1;82;8396;-0.1;894.18
1;123;8389;-0.15;897.43
1;164;8405;-0.2;890.0
1;205;8383;-0.25;900.23
1;246;8406;-0.3;889.53
1;287;8397;-0.35;893.71
1;328;8400;-0.4;892.32
1;369;8402;-0.451;891.39
1;410;8396;-0.501;894.18
1;451;8394;-0.551;895.11
1;492;8402;-0.601;891.39
1;533;8388;-0.651;897.9
1;574;8391;-0.701;896.5
1;615;8396;-0.751;894.18
1;656;8398;-0.801;893.25
1;697;8380;-0.851;901.63
1;738;8384;-0.901;899.76
1;779;8390;-0.951;896.97
1;820;8395;-1.001;894.64
1;861;8388;-1.051;897.9
1;902;8427;-1.101;879.81
1;943;8404;-1.151;890.46
1;984;8441;-1.201;873.36
1;1025;8383;-1.252;900.23
1;1066;8459;-1.302;865.1
1;1107;8435;-1.352;876.13
1;1148;8468;-1.402;860.98
1;1189;8465;-1.452;862.35
1;1230;8462;-1.502;863.73
1;1271;8441;-1.552;873.36
1;1312;8480;-1.602;855.5
1;1353;8510;-1.652;841.88
1;1351;8516;-1.65;839.16
1;1310;8509;-1.6;842.33
1;1269;8523;-1.549;836.0
1;1228;8532;-1.499;831.94
1;1187;8508;-1.449;842.78
1;1146;8496;-1.399;848.22
1;1105;8497;-1.349;847.77
1;1064;8502;-1.299;845.5
1;1023;8470;-1.249;860.07
1;982;8492;-1.199;850.04
1;941;8470;-1.149;860.07
1;900;8452;-1.099;868.31
1;859;8476;-1.049;857.33
1;818;8478;-0.999;856.42
1;777;8470;-0.949;860.07
1;736;8453;-0.899;867.85
1;695;8442;-0.849;872.9
1;654;8466;-0.799;861.9
1;613;8456;-0.748;866.47
1;572;8437;-0.698;875.2
1;531;8431;-0.648;877.97
1;490;8459;-0.598;865.1
1;449;8438;-0.548;874.74
1;408;8464;-0.498;862.81
1;367;8454;-0.448;867.39
1;326;8431;-0.398;877.97
1;285;8447;-0.348;870.6
1;244;8428;-0.298;879.35
1;203;8449;-0.248;869.69
1;162;8437;-0.198;875.2
1;121;8431;-0.148;877.97
1;80;8439;-0.098;874.28
1;39;8452;-0.048;868.31
1;-2;8437;0.002;875.2
0;0;8446;0.0;871.06
0;41;8439;0.05;874.28
0;82;8440;0.1;873.82
0;123;8451;0.15;868.77
0;164;8449;0.2;869.69
0;205;8435;0.25;876.13
0;246;8455;0.3;866.93
0;287;8437;0.35;875.2
0;328;8440;0.4;873.82
0;369;8456;0.451;866.47
0;410;8461;0.501;864.18
0;451;8441;0.551;873.36
0;492;8455;0.601;866.93
0;533;8468;0.651;860.98
0;574;8460;0.701;864.64
0;615;8501;0.751;845.95
0;656;8572;0.801;814.02
0;697;8579;0.851;810.9
0;738;8650;0.901;779.53
0;779;8765;0.951;729.81
0;820;8876;1.001;683.05
0;861;8981;1.051;639.87
0;902;9085;1.101;598.09
0;943;8998;1.151;632.97
0;984;8747;1.201;737.51
0;1025;5427;1.252;3030.07
1;0;5453;-0.0;3001.27
1;41;5478;-0.05;2973.84
1;82;5476;-0.1;2976.02
1;123;5480;-0.15;2971.65
1;164;5472;-0.2;2980.4
1;205;5500;-0.25;2949.9
1;246;5486;-0.3;2965.11
1;287;5508;-0.35;2941.25
1;328;5524;-0.4;2924.01
1;369;5615;-0.451;2827.84
1;410;5519;-0.501;2929.39
1;451;5811;-0.551;2630.93
1;492;5956;-0.601;2493.6
1;533;6394;-0.651;2116.6
1;574;6530;-0.701;2009.83
1;615;6786;-0.751;1820.46
1;656;7117;-0.801;1595.8
1;697;7341;-0.851;1455.26
1;738;7695;-0.901;1249.84
1;779;7925;-0.951;1126.21
1;820;8070;-1.001;1051.89
1;861;8337;-1.051;921.81
1;902;8497;-1.101;847.77
1;943;8643;-1.151;782.6
1;984;8735;-1.201;742.66
1;983;8781;-1.2;723.0
1;942;8763;-1.15;730.67
1;901;8787;-1.1;720.45
1;860;8770;-1.05;727.68
1;819;8774;-1.0;725.98
1;778;8768;-0.95;728.53
1;737;8774;-0.9;725.98
1;696;8775;-0.85;725.55
1;655;8790;-0.8;719.18
1;614;8787;-0.75;720.45
1;573;8777;-0.7;724.7
1;532;8784;-0.65;721.72
1;491;8779;-0.6;723.85
1;450;8767;-0.549;728.96
1;409;8779;-0.499;723.85
1;368;8766;-0.449;729.39
1;327;8779;-0.399;723.85
1;286;8780;-0.349;723.42
1;245;8777;-0.299;724.7
1;204;8782;-0.249;722.57
1;163;8768;-0.199;728.53
1;122;8774;-0.149;725.98
1;81;8762;-0.099;731.09
1;40;8774;-0.049;725.98
1;-1;8789;0.001;719.6
0;0;8765;0.0;729.81
0;41;8788;0.05;720.03
0;82;8766;0.1;729.39
0;123;8784;0.15;721.72
0;164;8765;0.2;729.81
0;205;8773;0.25;726.4
0;246;8785;0.3;721.3
0;287;8772;0.35;726.83
0;328;8763;0.4;730.67
0;369;8775;0.451;725.55
0;410;8781;0.501;723.0
0;451;8774;0.551;725.98
0;492;8765;0.601;729.81
0;533;8782;0.651;722.57
0;574;8762;0.701;731.09
0;615;8754;0.751;734.51
0;656;8722;0.801;748.25
0;697;8665;0.851;772.97
0;738;8575;0.901;812.68
0;779;8455;0.951;866.93
0;820;8310;1.001;934.58
0;861;8144;1.051;1014.98
0;902;7932;1.101;1122.56
0;943;7665;1.151;1266.51
0;984;6415;1.201;2099.82
0;983;7175;1.2;1558.57
0;942;7122;1.15;1592.57
0;901;7277;1.1;1494.53
0;860;7324;1.05;1465.62
0;819;7427;1.0;1403.55
0;778;7301;0.95;1479.72
0;737;7341;0.9;1455.26
0;696;7343;0.85;1454.04
0;655;7349;0.8;1450.4
0;614;7375;0.75;1434.67
0;573;7359;0.7;1444.34
0;532;7343;0.65;1454.04
0;491;7355;0.6;1446.76
0;450;7361;0.549;1443.13
0;409;7366;0.499;1440.1
0;368;7360;0.449;1443.73
0;327;7357;0.399;1445.55
0;286;7352;0.349;1448.58
0;245;7359;0.299;1444.34
0;204;7346;0.249;1452.22
0;163;7361;0.199;1443.13
0;122;7357;0.149;1445.55
0;81;7361;0.099;1443.13
0;40;7358;0.049;1444.94
0;-1;578;-0.001;53701.88
1;0;503;-0.0;62157.93
1;41;487;-0.05;64298.97
1;82;534;-0.1;58374.77
1;123;542;-0.15;57468.72
1;164;579;-0.2;53603.94
1;205;496;-0.25;63077.64
1;246;439;-0.3;71658.49
1;287;482;-0.35;64997.2
1;328;468;-0.4;67031.6
1;369;431;-0.451;73044.45
1;410;604;-0.501;51260.64
1;451;557;-0.551;55840.03
1;492;433;-0.601;72693.16
1;533;470;-0.651;66733.55
1;574;480;-0.701;65280.56
1;615;396;-0.751;79766.44
1;656;402;-0.801;78530.97
1;697;357;-0.851;88809.24
1;738;451;-0.901;69671.75
1;779;7458;-0.951;1385.21
1;820;7875;-1.001;1152.47
1;861;7935;-1.051;1121.0
1;902;8282;-1.101;947.92
1;943;8521;-1.151;836.9
1;984;8574;-1.201;813.12
1;983;8580;-1.2;810.45
1;942;8595;-1.15;803.78
1;901;8591;-1.1;805.56
1;860;8604;-1.05;799.79
1;819;8602;-1.0;800.68
1;778;8594;-0.95;804.23
1;737;8603;-0.9;800.24
1;696;8597;-0.85;802.9
1;655;8587;-0.8;807.34
1;614;8594;-0.75;804.23
1;573;8595;-0.7;803.78
1;532;8590;-0.65;806.0
1;491;8595;-0.6;803.78
1;450;8584;-0.549;808.67
1;409;8591;-0.499;805.56
1;368;8593;-0.449;804.67
1;327;8606;-0.399;798.91
1;286;8600;-0.349;801.57
1;245;8589;-0.299;806.45
1;204;8589;-0.249;806.45
1;163;8607;-0.199;798.47
1;122;8601;-0.149;801.12
1;81;8599;-0.099;802.01
1;40;8586;-0.049;807.78
1;-1;8597;0.001;802.9
0;0;8578;0.0;811.34
0;41;8599;0.05;802.01
0;82;8598;0.1;802.45
0;123;8588;0.15;806.89
0;164;8587;0.2;807.34
0;205;8593;0.25;804.67
0;246;8596;0.3;803.34
0;287;8604;0.35;799.79
0;328;8589;0.4;806.45
0;369;8583;0.451;809.12
0;410;8602;0.501;800.68
0;451;8587;0.551;807.34
0;492;8605;0.601;799.35
0;533;8594;0.651;804.23
0;574;8583;0.701;809.12
0;615;8561;0.751;818.93
0;656;8527;0.801;834.2
0;697;8450;0.851;869.23
0;738;8354;0.901;913.81
0;779;8217;0.951;979.23
0;820;7825;1.001;1179.07
0;861;7486;1.051;1368.77
0;902;5808;1.101;2633.85
0;943;3035;1.151;7790.48
0;984;3497;1.201;6363.6
0;983;2453;1.2;10353.01
0;942;2762;1.15;8858.02
0;901;2654;1.1;9340.97
0;860;2655;1.05;9336.32
0;819;2787;1.0;8751.56
0;778;2585;0.95;9670.65
0;737;2745;0.9;8931.52
0;696;2808;0.85;8663.6
0;655;2788;0.8;8747.34
0;614;2833;0.75;8560.59
0;573;2682;0.7;9212.02
0;532;2648;0.65;9368.95
0;491;2657;0.6;9327.02
0;450;2638;0.549;9415.88
0;409;2627;0.499;9467.91
0;368;2626;0.449;9472.66
0;327;2718;0.399;9050.14
0;286;2870;0.349;8411.42
0;245;2847;0.299;8503.69
0;204;2866;0.249;8427.36
0;163;2849;0.199;8495.61
0;122;2840;0.149;8532.07
0;81;2834;0.099;8556.5
0;40;2775;0.049;8802.42
0;-1;868;-0.001;34754.36
1;0;755;-0.0;40406.51
1;41;773;-0.05;39395.52
1;82;747;-0.1;40871.48
1;123;756;-0.15;40349.09
1;164;822;-0.2;36867.7
1;205;838;-0.25;36106.31
1;246;874;-0.3;34495.11
1;287;815;-0.35;37210.21
1;328;737;-0.4;41466.89
1;369;720;-0.451;42517.04
1;410;692;-0.501;44359.17
1;451;759;-0.551;40177.71
1;492;538;-0.601;57918.38
1;533;450;-0.651;69833.26
1;574;469;-0.701;66882.26
1;615;412;-0.751;76551.82
1;656;502;-0.801;62287.75
1;697;617;-0.851;50117.18
1;738;461;-0.901;68095.14
1;779;458;-0.951;68560.89
1;820;7095;-1.001;1610.08
1;861;7675;-1.051;1260.94
1;902;7839;-1.101;1171.59
1;943;8358;-1.151;911.93
1;984;8598;-1.201;802.45
1;983;8623;-1.2;791.4
1;942;8623;-1.15;791.4
1;901;8623;-1.1;791.4
1;860;8634;-1.05;786.56
1;819;8626;-1.0;790.08
1;778;8629;-0.95;788.76
