sign;dac;adc;vol;res
1;0;10367;-0.0;151.9
0;0;10370;0.0;150.99
0;41;10378;0.05;148.55
0;82;10359;0.1;154.35
0;123;10371;0.15;150.69
0;164;10375;0.2;149.47
0;205;10374;0.25;149.77
0;246;10363;0.3;153.13
0;287;10371;0.35;150.69
0;328;10373;0.4;150.08
0;369;10374;0.451;149.77
0;410;10369;0.501;151.3
0;451;10369;0.551;151.3
0;492;10376;0.601;149.16
0;533;10373;0.651;150.08
0;574;10374;0.701;149.77
0;615;10373;0.751;150.08
0;656;10365;0.801;152.52
0;697;10368;0.851;151.6
0;738;10374;0.901;149.77
0;779;10374;0.951;149.77
0;820;10371;1.001;150.69
0;861;10374;1.051;149.77
0;902;10372;1.101;150.38
0;943;10376;1.151;149.16
0;984;10371;1.201;150.69
0;1025;10377;1.252;148.86
0;1066;10371;1.302;150.69
0;1107;10374;1.352;149.77
0;1148;10375;1.402;149.47
0;1189;10370;1.452;150.99
0;1230;10375;1.502;149.47
0;1271;10375;1.552;149.47
0;1312;10374;1.602;149.77
0;1353;10377;1.652;148.86
0;1394;10373;1.702;150.08
0;1435;10373;1.752;150.08
0;1476;10373;1.802;150.08
0;1517;10369;1.852;151.3
0;1558;10372;1.902;150.38
0;1599;10375;1.952;149.47
0;1640;10368;2.002;151.6
0;1681;10369;2.053;151.3
0;1722;10370;2.103;150.99
0;1763;10372;2.153;150.38
0;1804;10370;2.203;150.99
0;1802;10377;2.2;148.86
0;1761;10367;2.15;151.9
0;1720;10368;2.1;151.6
0;1679;10369;2.05;151.3
0;1638;10374;2.0;149.77
0;1597;10374;1.95;149.77
0;1556;10378;1.9;148.55
0;1515;10372;1.85;150.38
0;1474;10369;1.8;151.3
0;1433;10372;1.75;150.38
0;1392;10374;1.7;149.77
0;1351;10373;1.65;150.08
0;1310;10375;1.6;149.47
0;1269;10368;1.549;151.6
0;1228;10369;1.499;151.3
0;1187;10369;1.449;151.3
0;1146;10372;1.399;150.38
0;1105;10372;1.349;150.38
0;1064;10369;1.299;151.3
0;1023;10374;1.249;149.77
0;982;10374;1.199;149.77
0;941;10373;1.149;150.08
0;900;10367;1.099;151.9
0;859;10373;1.049;150.08
0;818;10376;0.999;149.16
0;777;10372;0.949;150.38
0;736;10374;0.899;149.77
0;695;10373;0.849;150.08
0;654;10367;0.799;151.9
0;613;10367;0.748;151.9
0;572;10372;0.698;150.38
0;531;10376;0.648;149.16
0;490;10370;0.598;150.99
0;449;10366;0.548;152.21
0;408;10364;0.498;152.82
0;367;10371;0.448;150.69
0;326;10368;0.398;151.6
0;285;10373;0.348;150.08
0;244;10372;0.298;150.38
0;203;10379;0.248;148.25
0;162;10366;0.198;152.21
0;121;10369;0.148;151.3
0;80;10375;0.098;149.47
0;39;10371;0.048;150.69
0;-2;10375;-0.002;149.47
0;0;10371;0.0;150.69
0;41;10376;0.05;149.16
0;82;10370;0.1;150.99
0;123;10375;0.15;149.47
0;164;10376;0.2;149.16
0;205;10369;0.25;151.3
0;246;10365;0.3;152.52
0;287;10370;0.35;150.99
0;328;10373;0.4;150.08
0;369;10371;0.451;150.69
0;410;10364;0.501;152.82
0;451;10374;0.551;149.77
0;492;10378;0.601;148.55
0;533;10367;0.651;151.9
0;574;10366;0.701;152.21
0;615;10366;0.751;152.21
0;656;10376;0.801;149.16
0;697;10374;0.851;149.77
0;738;10369;0.901;151.3
0;779;10370;0.951;150.99
0;820;10376;1.001;149.16
0;861;10369;1.051;151.3
0;902;10366;1.101;152.21
0;943;10373;1.151;150.08
0;984;10369;1.201;151.3
0;1025;10363;1.252;153.13
0;1066;10368;1.302;151.6
0;1107;10374;1.352;149.77
0;1148;10372;1.402;150.38
0;1189;10372;1.452;150.38
0;1230;10374;1.502;149.77
0;1271;10370;1.552;150.99
0;1312;10366;1.602;152.21
0;1353;10364;1.652;152.82
0;1394;10371;1.702;150.69
0;1435;10370;1.752;150.99
0;1476;10373;1.802;150.08
0;1517;10362;1.852;153.43
0;1558;10377;1.902;148.86
0;1599;10366;1.952;152.21
0;1640;10371;2.002;150.69
0;1681;10369;2.053;151.3
0;1722;10366;2.103;152.21
0;1763;10370;2.153;150.99
0;1804;10368;2.203;151.6
0;1802;10364;2.2;152.82
0;1761;10370;2.15;150.99
0;1720;10371;2.1;150.69
0;1679;10374;2.05;149.77
0;1638;10380;2.0;147.94
0;1597;10374;1.95;149.77
0;1556;10356;1.9;155.26
0;1515;10365;1.85;152.52
0;1474;10366;1.8;152.21
0;1433;10373;1.75;150.08
0;1392;10370;1.7;150.99
0;1351;10374;1.65;149.77
0;1310;10372;1.6;150.38
0;1269;10375;1.549;149.47
0;1228;10371;1.499;150.69
0;1187;10370;1.449;150.99
0;1146;10372;1.399;150.38
0;1105;10370;1.349;150.99
0;1064;10371;1.299;150.69
0;1023;10373;1.249;150.08
0;982;10369;1.199;151.3
0;941;10375;1.149;149.47
0;900;10375;1.099;149.47
0;859;10374;1.049;149.77
0;818;10370;0.999;150.99
0;777;10368;0.949;151.6
0;736;10374;0.899;149.77
0;695;10371;0.849;150.69
0;654;10369;0.799;151.3
0;613;10369;0.748;151.3
0;572;10373;0.698;150.08
0;531;10371;0.648;150.69
0;490;10370;0.598;150.99
0;449;10372;0.548;150.38
0;408;10367;0.498;151.9
0;367;10371;0.448;150.69
0;326;10371;0.398;150.69
0;285;10373;0.348;150.08
0;244;10371;0.298;150.69
0;203;10371;0.248;150.69
0;162;10370;0.198;150.99
0;121;10373;0.148;150.08
0;80;10371;0.098;150.69
0;39;10375;0.048;149.47
0;-2;10373;-0.002;150.08
1;0;10368;-0.0;151.6
1;41;10377;-0.05;148.86
1;82;10378;-0.1;148.55
1;123;10373;-0.15;150.08
1;164;10374;-0.2;149.77
1;205;10372;-0.25;150.38
1;246;10372;-0.3;150.38
1;245;10372;-0.299;150.38
1;204;10375;-0.249;149.47
1;163;10366;-0.199;152.21
1;122;10372;-0.149;150.38
1;81;10369;-0.099;151.3
1;40;10372;-0.049;150.38
1;-1;10372;0.001;150.38
0;0;10372;0.0;150.38
0;41;10372;0.05;150.38
0;82;10376;0.1;149.16
0;123;10370;0.15;150.99
0;164;10366;0.2;152.21
0;205;10373;0.25;150.08
0;246;10359;0.3;154.35
0;287;10376;0.35;149.16
0;328;10372;0.4;150.38
0;369;10371;0.451;150.69
0;410;10374;0.501;149.77
0;451;10365;0.551;152.52
0;492;10371;0.601;150.69
0;533;10372;0.651;150.38
0;574;10371;0.701;150.69
0;615;10371;0.751;150.69
0;656;10372;0.801;150.38
0;697;10372;0.851;150.38
0;738;10375;0.901;149.47
0;779;10361;0.951;153.74
0;820;10371;1.001;150.69
0;861;10371;1.051;150.69
0;902;10373;1.101;150.08
0;943;10368;1.151;151.6
0;984;10371;1.201;150.69
0;983;10367;1.2;151.9
0;942;10370;1.15;150.99
0;901;10371;1.1;150.69
0;860;10366;1.05;152.21
0;819;10370;1.0;150.99
0;778;10367;0.95;151.9
0;737;10369;0.9;151.3
0;696;10367;0.85;151.9
0;655;10374;0.8;149.77
0;614;10363;0.75;153.13
0;573;10363;0.7;153.13
0;532;10375;0.65;149.47
0;491;10373;0.6;150.08
0;450;10375;0.549;149.47
0;409;10376;0.499;149.16
0;368;10370;0.449;150.99
0;327;10366;0.399;152.21
0;286;10365;0.349;152.52
0;245;10373;0.299;150.08
0;204;10366;0.249;152.21
0;163;10371;0.199;150.69
0;122;10375;0.149;149.47
0;81;10371;0.099;150.69
0;40;10372;0.049;150.38
0;-1;10373;-0.001;150.08
1;0;10371;-0.0;150.69
1;41;10371;-0.05;150.69
1;82;10374;-0.1;149.77
1;123;10377;-0.15;148.86
1;164;10366;-0.2;152.21
1;205;10371;-0.25;150.69
1;246;10375;-0.3;149.47
1;204;10369;-0.249;151.3
1;163;10369;-0.199;151.3
1;122;10372;-0.149;150.38
1;81;10371;-0.099;150.69
1;40;10368;-0.049;151.6
1;-1;10369;0.001;151.3
0;0;10371;0.0;150.69
0;41;10367;0.05;151.9
0;82;10375;0.1;149.47
0;123;10375;0.15;149.47
0;164;10368;0.2;151.6
0;205;10374;0.25;149.77
0;246;10374;0.3;149.77
0;287;10372;0.35;150.38
0;328;10373;0.4;150.08
0;369;10370;0.451;150.99
0;410;10368;0.501;151.6
0;451;10367;0.551;151.9
0;492;10371;0.601;150.69
0;533;10373;0.651;150.08
0;574;10372;0.701;150.38
0;615;10372;0.751;150.38
0;656;10374;0.801;149.77
0;697;10374;0.851;149.77
0;738;10370;0.901;150.99
0;779;10374;0.951;149.77
0;820;10368;1.001;151.6
0;861;10374;1.051;149.77
0;902;10371;1.101;150.69
0;943;10372;1.151;150.38
0;984;10368;1.201;151.6
0;983;10372;1.2;150.38
0;942;10375;1.15;149.47
0;901;10359;1.1;154.35
0;860;10365;1.05;152.52
0;819;10381;1.0;147.64
0;778;10372;0.95;150.38
0;737;10372;0.9;150.38
0;696;10369;0.85;151.3
0;655;10371;0.8;150.69
0;614;10372;0.75;150.38
0;573;10371;0.7;150.69
0;532;10375;0.65;149.47
0;491;10372;0.6;150.38
0;450;10371;0.549;150.69
0;409;10366;0.499;152.21
0;368;10367;0.449;151.9
0;327;10367;0.399;151.9
0;286;10369;0.349;151.3
0;245;10365;0.299;152.52
0;204;10366;0.249;152.21
0;163;10362;0.199;153.43
0;122;10372;0.149;150.38
0;81;10372;0.099;150.38
0;40;10375;0.049;149.47
0;-1;10365;-0.001;152.52
1;0;10368;-0.0;151.6
1;41;10372;-0.05;150.38
1;82;10371;-0.1;150.69
1;123;10373;-0.15;150.08
1;164;10370;-0.2;150.99
1;205;10368;-0.25;151.6
1;246;10371;-0.3;150.69
1;245;10373;-0.299;150.08
1;204;10372;-0.249;150.38
1;163;10367;-0.199;151.9
1;122;10377;-0.149;148.86
1;81;10379;-0.099;148.25
1;40;10373;-0.049;150.08
1;-1;10365;0.001;152.52
0;0;10372;0.0;150.38
0;41;10366;0.05;152.21
0;82;10365;0.1;152.52
0;123;10374;0.15;149.77
0;164;10375;0.2;149.47
0;205;10373;0.25;150.08
0;246;10362;0.3;153.43
0;287;10370;0.35;150.99
0;328;10367;0.4;151.9
0;369;10372;0.451;150.38
0;410;10375;0.501;149.47
0;451;10372;0.551;150.38
0;492;10370;0.601;150.99
0;533;10371;0.651;150.69
0;574;10373;0.701;150.08
0;615;10370;0.751;150.99
0;656;10373;0.801;150.08
0;697;10370;0.851;150.99
0;738;10376;0.901;149.16
0;779;10372;0.951;150.38
0;820;10371;1.001;150.69
0;861;10371;1.051;150.69
0;902;10371;1.101;150.69
0;943;10372;1.151;150.38
0;984;10369;1.201;151.3
0;983;10366;1.2;152.21
0;942;10368;1.15;151.6
0;901;10372;1.1;150.38
0;860;10369;1.05;151.3
0;819;10370;1.0;150.99
0;778;10370;0.95;150.99
0;737;10366;0.9;152.21
0;696;10367;0.85;151.9
0;655;10372;0.8;150.38
0;614;10364;0.75;152.82
0;573;10376;0.7;149.16
0;532;10367;0.65;151.9
0;491;10377;0.6;148.86
0;450;10369;0.549;151.3
0;409;10369;0.499;151.3
0;368;10372;0.449;150.38
0;327;10366;0.399;152.21
0;286;10371;0.349;150.69
0;245;10374;0.299;149.77
0;204;10369;0.249;151.3
0;163;10371;0.199;150.69
0;122;10371;0.149;150.69
0;81;10370;0.099;150.99
0;40;10369;0.049;151.3
0;-1;10366;-0.001;152.21
