sign;dac;adc;vol;res
1;0;10610;-0.0;79.49
0;0;10617;0.0;77.45
0;41;10615;0.05;78.03
0;82;10616;0.1;77.74
0;123;10610;0.15;79.49
0;164;10614;0.2;78.32
0;205;10617;0.25;77.45
0;246;10616;0.3;77.74
0;287;10618;0.35;77.16
0;328;10611;0.4;79.2
0;369;10613;0.451;78.61
0;410;10618;0.501;77.16
0;451;10611;0.551;79.2
0;492;10612;0.601;78.91
0;533;10611;0.651;79.2
0;574;10614;0.701;78.32
0;615;10615;0.751;78.03
0;656;10615;0.801;78.03
0;697;10617;0.851;77.45
0;738;10615;0.901;78.03
0;779;10615;0.951;78.03
0;820;10613;1.001;78.61
0;861;10619;1.051;76.87
0;902;10615;1.101;78.03
0;943;10617;1.151;77.45
0;984;10612;1.201;78.91
0;1025;10609;1.252;79.78
0;1066;10617;1.302;77.45
0;1107;10614;1.352;78.32
0;1148;10612;1.402;78.91
0;1189;10617;1.452;77.45
0;1230;10618;1.502;77.16
0;1271;10614;1.552;78.32
0;1312;10612;1.602;78.91
0;1353;10618;1.652;77.16
0;1394;10611;1.702;79.2
0;1435;10613;1.752;78.61
0;1476;10617;1.802;77.45
0;1517;10611;1.852;79.2
0;1558;10618;1.902;77.16
0;1599;10615;1.952;78.03
0;1640;10617;2.002;77.45
0;1681;10614;2.053;78.32
0;1722;10615;2.103;78.03
0;1763;10617;2.153;77.45
0;1804;10609;2.203;79.78
0;1802;10618;2.2;77.16
0;1761;10616;2.15;77.74
0;1720;10618;2.1;77.16
0;1679;10616;2.05;77.74
0;1638;10611;2.0;79.2
0;1597;10615;1.95;78.03
0;1556;10616;1.9;77.74
0;1515;10619;1.85;76.87
0;1474;10617;1.8;77.45
0;1433;10617;1.75;77.45
0;1392;10614;1.7;78.32
0;1351;10616;1.65;77.74
0;1310;10614;1.6;78.32
0;1269;10611;1.549;79.2
0;1228;10616;1.499;77.74
0;1187;10614;1.449;78.32
0;1146;10616;1.399;77.74
0;1105;10612;1.349;78.91
0;1064;10610;1.299;79.49
0;1023;10612;1.249;78.91
0;982;10615;1.199;78.03
0;941;10615;1.149;78.03
0;900;10611;1.099;79.2
0;859;10613;1.049;78.61
0;818;10615;0.999;78.03
0;777;10618;0.949;77.16
0;736;10617;0.899;77.45
0;695;10615;0.849;78.03
0;654;10617;0.799;77.45
0;613;10618;0.748;77.16
0;572;10614;0.698;78.32
0;531;10619;0.648;76.87
0;490;10618;0.598;77.16
0;449;10614;0.548;78.32
0;408;10608;0.498;80.07
0;367;10615;0.448;78.03
0;326;10613;0.398;78.61
0;285;10613;0.348;78.61
0;244;10613;0.298;78.61
0;203;10618;0.248;77.16
0;162;10617;0.198;77.45
0;121;10608;0.148;80.07
0;80;10614;0.098;78.32
0;39;10609;0.048;79.78
0;-2;10617;-0.002;77.45
0;0;10611;0.0;79.2
0;41;10616;0.05;77.74
0;82;10612;0.1;78.91
0;123;10616;0.15;77.74
0;164;10610;0.2;79.49
0;205;10614;0.25;78.32
0;246;10611;0.3;79.2
0;287;10617;0.35;77.45
0;328;10613;0.4;78.61
0;369;10608;0.451;80.07
0;410;10614;0.501;78.32
0;451;10619;0.551;76.87
0;492;10611;0.601;79.2
0;533;10615;0.651;78.03
0;574;10611;0.701;79.2
0;615;10622;0.751;76.0
0;656;10617;0.801;77.45
0;697;10614;0.851;78.32
0;738;10616;0.901;77.74
0;779;10610;0.951;79.49
0;820;10617;1.001;77.45
0;861;10616;1.051;77.74
0;902;10619;1.101;76.87
0;943;10615;1.151;78.03
0;984;10615;1.201;78.03
0;1025;10611;1.252;79.2
0;1066;10617;1.302;77.45
