wl,bl
0,0
0,2
3,2
5,2
3,3
3,4
6,4
0,6
1,6
5,6
4,7
6,7
2,8
3,8
4,8
6,8
0,11
2,11
4,11
5,11
4,12
5,12
5,13
6,13
7,13
0,15
1,15
2,15
4,15
0,17
1,17
4,17
5,17
6,17
7,17
5,18
0,19
2,19
4,19
5,19
6,19
7,19
0,20
2,20
7,20
4,21
6,21
2,22
4,22
5,22
6,22
2,24
5,24
1,25
2,25
3,25
6,25
2,26
5,27
6,27
6,28
2,29
7,29
1,30
3,30
1,31
